AA, ELP, DFW,20200709,0,0,105,106
AA, ELP, DFW,20200710,0,0,105,117
AA, ELP, DFW,20200711,0,0,105,100
AA, ELP, DFW,20200712,0,0,105,113
AA, ELP, DFW,20200713,0,0,105,108
AA, ELP, DFW,20200716,0,0,105,114
AA, ELP, DFW,20200717,0,0,105,107
AA, ELP, DFW,20200718,0,0,105,102
AA, ELP, DFW,20200719,0,0,105,106
AA, ELP, DFW,20200720,0,0,105,123
AA, ELP, DFW,20200723,0,0,105,105
AA, ELP, DFW,20200724,0,0,105,99
AA, ELP, DFW,20200725,0,0,105,102
AA, ELP, DFW,20200726,0,0,105,103
AA, ELP, DFW,20200727,0,0,105,106
AA, ELP, DFW,20200730,0,0,105,97
AA, ELP, DFW,20200731,0,0,105,101
AA, ELP, DFW,20200707,0,0,101,101
AA, ELP, DFW,20200708,0,0,101,109
AA, ELP, DFW,20200711,0,0,101,108
AA, ELP, DFW,20200713,0,0,101,108
AA, ELP, DFW,20200714,0,0,101,107
AA, ELP, DFW,20200715,0,0,101,102
AA, ELP, DFW,20200718,0,0,101,106
AA, ELP, DFW,20200720,0,0,101,115
AA, ELP, DFW,20200721,0,0,101,108
AA, ELP, DFW,20200722,0,0,101,113
AA, ELP, DFW,20200725,0,0,101,103
AA, ELP, DFW,20200727,0,0,101,101
AA, ELP, DFW,20200728,0,0,101,106
AA, ELP, DFW,20200729,0,0,101,102
AA, ELP, DFW,20200707,0,0,104,171
AA, ELP, DFW,20200708,0,0,104,102
AA, ELP, DFW,20200709,0,0,104,103
AA, ELP, DFW,20200710,0,0,104,105
AA, ELP, DFW,20200712,0,0,104,98
AA, ELP, DFW,20200713,0,0,104,111
AA, ELP, DFW,20200714,0,0,104,120
AA, ELP, DFW,20200715,0,0,104,104
AA, ELP, DFW,20200716,0,0,104,108
AA, ELP, DFW,20200717,0,0,104,112
AA, ELP, DFW,20200719,0,0,104,106
AA, ELP, DFW,20200720,0,0,104,104
AA, ELP, DFW,20200721,0,0,104,111
AA, ELP, DFW,20200722,0,0,104,108
AA, ELP, DFW,20200723,0,0,104,124
AA, ELP, DFW,20200724,0,0,104,112
AA, ELP, DFW,20200726,0,0,104,101
AA, ELP, DFW,20200727,0,0,104,107
AA, ELP, DFW,20200728,0,0,104,113
AA, ELP, DFW,20200729,0,0,104,114
AA, ELP, DFW,20200730,0,0,104,112
AA, ELP, DFW,20200731,0,0,104,92
DL, ELP, ATL,20200701,0,0,181,178
DL, ELP, ATL,20200702,0,0,179,176
DL, ELP, ATL,20200703,0,0,179,179
DL, ELP, ATL,20200704,0,0,179,178
DL, ELP, ATL,20200705,0,0,179,178
DL, ELP, ATL,20200706,0,0,179,178
DL, ELP, ATL,20200707,0,0,179,177
DL, ELP, ATL,20200727,0,0,179,182
DL, ELP, ATL,20200728,0,0,179,187
DL, ELP, ATL,20200729,0,0,179,181
DL, ELP, ATL,20200730,0,0,179,175
DL, ELP, ATL,20200731,0,0,179,178
DL, ELP, ATL,20200708,0,0,179,171
DL, ELP, ATL,20200709,0,0,179,182
DL, ELP, ATL,20200710,0,0,179,176
DL, ELP, ATL,20200711,0,0,179,179
DL, ELP, ATL,20200712,0,0,179,166
DL, ELP, ATL,20200713,0,0,179,181
DL, ELP, ATL,20200714,0,0,179,213
DL, ELP, ATL,20200715,0,0,179,175
DL, ELP, ATL,20200716,0,0,179,183
DL, ELP, ATL,20200717,0,0,179,180
DL, ELP, ATL,20200718,0,0,179,197
DL, ELP, ATL,20200719,0,0,179,185
DL, ELP, ATL,20200720,0,0,179,511
DL, ELP, ATL,20200721,0,0,179,177
DL, ELP, ATL,20200722,0,0,179,184
DL, ELP, ATL,20200723,0,0,179,184
DL, ELP, ATL,20200724,0,0,179,191
DL, ELP, ATL,20200725,0,0,179,187
DL, ELP, ATL,20200726,0,0,179,176
F9, ELP, DEN,20200704,0,0,116,109
F9, ELP, DEN,20200711,0,0,116,98
F9, ELP, DEN,20200718,0,0,116,104
F9, ELP, DEN,20200725,0,0,116,115
G4, ELP, SFB,20200726,0,0,210,204
G4, ELP, LAS,20200709,0,0,104,98
G4, ELP, SFB,20200730,0,0,210,201
G4, ELP, LAS,20200705,0,0,104,101
G4, ELP, SFB,20200716,0,0,210,205
G4, ELP, LAS,20200702,0,0,104,100
G4, ELP, LAS,20200716,0,0,104,93
G4, ELP, SFB,20200705,0,0,210,204
G4, ELP, LAS,20200723,0,0,104,94
G4, ELP, SFB,20200723,0,0,210,191
G4, ELP, LAS,20200726,0,0,104,94
G4, ELP, SFB,20200702,0,0,210,194
G4, ELP, SFB,20200712,0,0,210,190
G4, ELP, LAS,20200719,0,0,104,95
G4, ELP, LAS,20200730,0,0,104,100
G4, ELP, SFB,20200719,0,0,210,209
G4, ELP, LAS,20200712,0,0,104,98
G4, ELP, SFB,20200709,0,0,210,205
AA, ELP, DFW,20200701,0,0,104,104
AA, ELP, DFW,20200702,0,0,104,106
AA, ELP, DFW,20200703,0,0,104,92
AA, ELP, DFW,20200704,0,0,104,113
AA, ELP, DFW,20200705,0,0,104,94
AA, ELP, DFW,20200706,0,0,104,107
AA, ELP, DFW,20200711,0,0,100,113
AA, ELP, DFW,20200718,0,0,100,109
AA, ELP, DFW,20200725,0,0,100,105
AA, ELP, DFW,20200708,0,0,103,102
AA, ELP, DFW,20200709,0,0,103,114
AA, ELP, DFW,20200710,0,0,103,109
AA, ELP, DFW,20200711,0,0,103,110
AA, ELP, DFW,20200712,0,0,103,116
AA, ELP, DFW,20200713,0,0,103,110
AA, ELP, DFW,20200714,0,0,103,97
AA, ELP, DFW,20200715,0,0,103,100
AA, ELP, DFW,20200716,0,0,103,118
AA, ELP, DFW,20200717,0,0,103,104
AA, ELP, DFW,20200718,0,0,103,106
AA, ELP, DFW,20200719,0,0,103,119
AA, ELP, DFW,20200720,0,0,103,113
AA, ELP, DFW,20200721,0,0,103,96
AA, ELP, DFW,20200722,0,0,103,103
AA, ELP, DFW,20200723,0,0,103,111
AA, ELP, DFW,20200724,0,0,103,100
AA, ELP, DFW,20200725,0,0,103,115
AA, ELP, DFW,20200726,0,0,103,100
AA, ELP, DFW,20200727,0,0,103,112
AA, ELP, DFW,20200728,0,0,103,105
AA, ELP, DFW,20200729,0,0,103,95
AA, ELP, DFW,20200730,0,0,103,90
AA, ELP, DFW,20200731,0,0,103,103
AA, ELP, ORD,20200708,0,0,190,174
AA, ELP, ORD,20200709,0,0,190,177
AA, ELP, ORD,20200710,0,0,190,174
AA, ELP, ORD,20200711,0,0,190,197
AA, ELP, ORD,20200712,0,0,190,187
AA, ELP, ORD,20200713,0,0,190,186
AA, ELP, ORD,20200714,0,0,190,173
AA, ELP, ORD,20200715,0,0,190,182
AA, ELP, ORD,20200716,0,0,190,160
AA, ELP, ORD,20200717,0,0,190,176
AA, ELP, ORD,20200718,0,0,190,200
AA, ELP, ORD,20200719,0,0,190,188
AA, ELP, ORD,20200720,0,0,190,187
AA, ELP, ORD,20200721,0,0,190,206
AA, ELP, ORD,20200722,0,0,190,182
AA, ELP, ORD,20200723,0,0,190,184
AA, ELP, ORD,20200724,0,0,190,183
AA, ELP, ORD,20200725,0,0,190,173
AA, ELP, ORD,20200726,0,0,190,182
AA, ELP, ORD,20200727,0,0,190,186
AA, ELP, ORD,20200728,0,0,190,192
AA, ELP, ORD,20200729,0,0,190,186
AA, ELP, ORD,20200730,0,0,190,171
AA, ELP, ORD,20200731,0,0,190,187
AA, ELP, ORD,20200702,0,0,194,171
AA, ELP, ORD,20200703,0,0,194,197
AA, ELP, ORD,20200705,0,0,194,179
AA, ELP, ORD,20200706,0,0,194,180
AA, ELP, ORD,20200709,0,0,191,197
AA, ELP, ORD,20200710,0,0,191,184
AA, ELP, ORD,20200712,0,0,191,189
AA, ELP, ORD,20200713,0,0,191,179
AA, ELP, ORD,20200716,0,0,191,173
AA, ELP, ORD,20200717,0,0,191,177
AA, ELP, ORD,20200719,0,0,191,184
AA, ELP, ORD,20200720,0,0,191,179
AA, ELP, ORD,20200723,0,0,191,161
AA, ELP, ORD,20200724,0,0,191,178
AA, ELP, ORD,20200726,0,0,191,175
AA, ELP, ORD,20200727,0,0,191,181
AA, ELP, ORD,20200730,0,0,191,164
AA, ELP, ORD,20200731,0,0,191,183
AA, ELP, DFW,20200701,0,0,106,124
AA, ELP, DFW,20200701,0,0,105,106
AA, ELP, PHX,20200701,0,0,92,81
AA, ELP, DFW,20200702,0,0,106,176
AA, ELP, DFW,20200702,0,0,105,117
AA, ELP, PHX,20200702,0,0,92,80
AA, ELP, DFW,20200703,0,0,106,121
AA, ELP, DFW,20200703,0,0,105,115
AA, ELP, PHX,20200703,0,0,92,92
AA, ELP, DFW,20200704,0,0,106,112
AA, ELP, DFW,20200704,0,0,105,100
AA, ELP, PHX,20200704,0,0,92,84
AA, ELP, DFW,20200705,0,0,106,161
AA, ELP, DFW,20200705,0,0,105,105
AA, ELP, PHX,20200705,0,0,92,83
AA, ELP, DFW,20200706,0,0,106,109
AA, ELP, DFW,20200706,0,0,105,101
AA, ELP, PHX,20200706,0,0,92,78
AA, ELP, DFW,20200707,0,0,108,109
AA, ELP, ORD,20200707,0,0,197,179
AA, ELP, PHX,20200730,0,0,81,83
AA, ELP, PHX,20200731,0,0,81,83
AS, ELP, SEA,20200701,0,0,229,216
AS, ELP, SEA,20200702,0,0,229,211
AS, ELP, SEA,20200703,0,0,229,212
AS, ELP, SEA,20200704,0,0,229,221
AS, ELP, SEA,20200705,0,0,229,211
AS, ELP, SEA,20200706,0,0,229,207
AS, ELP, SEA,20200707,0,0,229,222
AS, ELP, SEA,20200708,0,0,229,217
AS, ELP, SEA,20200709,0,0,229,207
AS, ELP, SEA,20200710,0,0,229,214
AS, ELP, SEA,20200711,0,0,229,210
AS, ELP, SEA,20200712,0,0,229,205
AS, ELP, SEA,20200713,0,0,229,211
AS, ELP, SEA,20200714,0,0,229,206
AS, ELP, SEA,20200715,0,0,229,220
AS, ELP, SEA,20200716,0,0,229,241
AS, ELP, SEA,20200717,0,0,229,216
AS, ELP, SEA,20200718,0,0,229,222
AS, ELP, SEA,20200719,0,0,229,206
AS, ELP, SEA,20200720,0,0,229,217
AS, ELP, SEA,20200721,0,0,229,214
AS, ELP, SEA,20200722,0,0,229,244
AS, ELP, SEA,20200723,0,0,229,200
AS, ELP, SEA,20200724,0,0,229,207
AS, ELP, SEA,20200725,0,0,229,193
AS, ELP, SEA,20200726,0,0,229,198
AS, ELP, SEA,20200727,0,0,229,194
AS, ELP, SEA,20200728,0,0,229,206
AS, ELP, SEA,20200729,0,0,229,214
AS, ELP, SEA,20200730,0,0,229,211
AS, ELP, SEA,20200731,0,0,229,211
WN, ELP, DAL,20200722,0,0,110,101
WN, ELP, DAL,20200722,0,0,105,95
WN, ELP, DAL,20200722,0,0,105,101
WN, ELP, HOU,20200722,0,0,110,104
WN, ELP, LAS,20200722,0,0,105,102
WN, ELP, PHX,20200722,0,0,80,65
WN, ELP, PHX,20200722,0,0,80,68
WN, ELP, PHX,20200722,0,0,80,71
WN, ELP, DAL,20200723,0,0,110,98
WN, ELP, DAL,20200723,0,0,105,98
WN, ELP, DAL,20200723,0,0,105,102
WN, ELP, HOU,20200723,0,0,110,108
WN, ELP, LAS,20200723,0,0,105,100
WN, ELP, PHX,20200723,0,0,80,74
WN, ELP, PHX,20200723,0,0,80,79
WN, ELP, PHX,20200723,0,0,80,68
WN, ELP, DAL,20200701,0,0,110,102
WN, ELP, DAL,20200701,0,0,105,98
WN, ELP, DAL,20200701,0,0,105,87
WN, ELP, DAL,20200701,0,0,105,88
WN, ELP, LAS,20200701,0,0,105,96
WN, ELP, PHX,20200701,0,0,80,64
WN, ELP, PHX,20200701,0,0,80,70
WN, ELP, PHX,20200701,0,0,80,72
WN, ELP, DAL,20200702,0,0,110,101
WN, ELP, DAL,20200702,0,0,105,102
WN, ELP, DAL,20200702,0,0,105,98
WN, ELP, DAL,20200702,0,0,105,96
WN, ELP, LAS,20200702,0,0,105,98
WN, ELP, PHX,20200702,0,0,80,72
WN, ELP, PHX,20200702,0,0,80,70
WN, ELP, PHX,20200702,0,0,80,71
WN, ELP, DAL,20200703,0,0,110,103
WN, ELP, DAL,20200703,0,0,105,96
WN, ELP, DAL,20200703,0,0,105,98
WN, ELP, DAL,20200703,0,0,110,97
WN, ELP, DAL,20200703,0,0,105,103
WN, ELP, LAS,20200703,0,0,105,93
WN, ELP, PHX,20200703,0,0,80,70
WN, ELP, PHX,20200703,0,0,80,69
WN, ELP, PHX,20200703,0,0,80,70
WN, ELP, DAL,20200713,0,0,110,95
WN, ELP, DAL,20200713,0,0,105,95
WN, ELP, DAL,20200713,0,0,105,98
WN, ELP, HOU,20200713,0,0,110,109
WN, ELP, LAS,20200713,0,0,105,94
WN, ELP, PHX,20200713,0,0,80,69
WN, ELP, PHX,20200713,0,0,80,68
WN, ELP, PHX,20200713,0,0,80,67
WN, ELP, DAL,20200714,0,0,110,97
WN, ELP, DAL,20200714,0,0,105,100
WN, ELP, DAL,20200714,0,0,105,90
WN, ELP, HOU,20200714,0,0,110,117
WN, ELP, LAS,20200714,0,0,105,98
WN, ELP, PHX,20200714,0,0,80,77
WN, ELP, PHX,20200714,0,0,80,73
WN, ELP, PHX,20200714,0,0,80,70
WN, ELP, DAL,20200715,0,0,110,97
WN, ELP, DAL,20200715,0,0,105,101
WN, ELP, DAL,20200715,0,0,105,97
WN, ELP, HOU,20200715,0,0,110,107
WN, ELP, LAS,20200715,0,0,105,100
WN, ELP, PHX,20200715,0,0,80,71
WN, ELP, PHX,20200715,0,0,80,70
WN, ELP, PHX,20200715,0,0,80,68
WN, ELP, DAL,20200724,0,0,110,100
WN, ELP, DAL,20200724,0,0,105,124
WN, ELP, DAL,20200724,0,0,105,103
WN, ELP, HOU,20200724,0,0,110,108
WN, ELP, LAS,20200724,0,0,105,96
WN, ELP, PHX,20200724,0,0,80,72
WN, ELP, PHX,20200724,0,0,80,76
WN, ELP, PHX,20200724,0,0,80,64
WN, ELP, DAL,20200725,0,0,110,99
WN, ELP, DAL,20200725,0,0,105,98
WN, ELP, DAL,20200725,0,0,105,93
WN, ELP, HOU,20200725,0,0,110,112
WN, ELP, LAS,20200725,0,0,105,88
WN, ELP, PHX,20200725,0,0,80,72
WN, ELP, PHX,20200725,0,0,80,69
WN, ELP, PHX,20200725,0,0,80,72
WN, ELP, DAL,20200726,0,0,110,95
WN, ELP, DAL,20200726,0,0,105,94
WN, ELP, DAL,20200726,0,0,105,100
WN, ELP, HOU,20200726,0,0,110,110
WN, ELP, LAS,20200726,0,0,105,96
WN, ELP, PHX,20200726,0,0,80,68
WN, ELP, PHX,20200726,0,0,80,67
WN, ELP, PHX,20200726,0,0,80,72
WN, ELP, DAL,20200704,0,0,105,97
WN, ELP, DAL,20200704,0,0,105,93
WN, ELP, LAS,20200704,0,0,105,97
WN, ELP, PHX,20200704,0,0,80,68
WN, ELP, PHX,20200704,0,0,80,67
WN, ELP, PHX,20200704,0,0,80,71
WN, ELP, DAL,20200705,0,0,110,92
WN, ELP, DAL,20200705,0,0,105,114
